Output_Dimension,Red_67_3_0_0_45,Red_83_3_0_0_45,Red_100_3_0_0_45,Red_116_3_0_0_45,Red_133_3_0_0_45,Green_67_3_0_0_45,Green_83_3_0_0_45,Green_100_3_0_0_45,Green_116_3_0_0_45,Green_133_3_0_0_45,Blue_67_3_0_0_45,Blue_83_3_0_0_45,Blue_100_3_0_0_45,Blue_116_3_0_0_45,Blue_133_3_0_0_45
14,68.53749661108577,79.65224575035822,84.5767403087686,85.05423320743061,80.88010734767398,63.0444348154686,72.00669034627485,78.44215380592748,76.84935883325558,71.61003054720489,69.06725033146314,79.69547572036083,85.65489355402981,85.44537649629156,81.67552970970534
15,68.28569225758943,79.46104188401088,84.55163045229959,85.21281827341267,81.14904371037531,63.25065981461448,72.1807589584112,78.64065406827774,77.12635416837107,71.96517860695204,69.2142637060303,79.85041339959294,85.80312867335796,85.65680486256694,81.91751954253864
16,68.0338879040931,79.26983801766355,84.52652059583058,85.37140333939472,81.41798007307662,63.456884813760354,72.35482757054756,78.83915433062799,77.40334950348654,72.32032666669919,69.36127708059745,80.00535107882503,85.95136379268611,85.86823322884231,82.15950937537195
17,67.72997199915764,79.01156961220464,84.44471723944294,85.49351940538621,81.68323822147094,63.66315362048731,72.51811302772829,79.01332678295651,77.66670445585875,72.68449422063807,69.48818764296176,80.12610261979128,86.05495736439934,86.04365014097387,82.38606271463803
18,67.42605609422218,78.75330120674575,84.36291388305531,85.61563547137769,81.94849636986525,63.86942242721425,72.68139848490902,79.18749923528503,77.93005940823095,73.04866177457696,69.61509820532608,80.24685416075754,86.15855093611256,86.21906705310542,82.61261605390412
19,67.12214018928672,78.49503280128685,84.28111052666767,85.73775153736916,82.21375451825956,64.0756912339412,72.84468394208976,79.36167168761355,78.19341436060316,73.41282932851584,69.7420087676904,80.36760570172379,86.2621445078258,86.39448396523697,82.83916939317021
20,66.81822428435126,78.23676439582796,84.19930717028005,85.85986760336066,82.47901266665387,64.28196004066815,73.0079693992705,79.53584413994207,78.45676931297535,73.77699688245472,69.86891933005471,80.48835724269004,86.36573807953901,86.56990087736853,83.06572273243629
21,66.49703358994658,77.94905567338598,84.0920873043559,85.9718560056096,82.77161485815185,64.476532223249,73.15540624712133,79.68447190499687,78.70298901113657,74.15218447678762,69.97923493170791,80.5829653927746,86.43946137097345,86.7240873377104,83.29652702956932
22,66.1758428955419,77.661346950944,83.98486743843175,86.08384440785854,83.06421704964983,64.67110440582984,73.30284309497218,79.83309967005165,78.94920870929778,74.52737207112051,70.08955053336112,80.67757354285914,86.51318466240788,86.87827379805226,83.52733132670235
23,65.85465220113721,77.373638228502,83.87764757250761,86.19583281010746,83.3568192411478,64.86567658841068,73.45027994282303,79.98172743510644,79.19542840745899,74.9025596654534,70.19986613501432,80.77218169294369,86.58690795384231,87.03246025839414,83.75813562383537
24,65.53346150673254,77.08592950606003,83.77042770658346,86.3078212123564,83.6494214326458,65.06024877099152,73.59771679067387,80.13035520016123,79.4416481056202,75.27774725978628,70.31018173666753,80.86678984302823,86.66063124527673,87.18664671873601,83.9889399209684
25,65.2202600171129,76.78722021326007,83.62522342286427,86.3477282962096,83.84380215987231,65.27219958323376,73.75560255786178,80.26282121280663,79.64281576290682,75.57562907605488,70.40622255690342,80.94132600846699,86.6942138124256,87.27815102057649,84.13745735581902
26,64.90705852749328,76.48851092046012,83.48001913914506,86.38763538006279,84.03818288709884,65.484150395476,73.9134883250497,80.39528722545201,79.84398342019342,75.87351089232348,70.5022633771393,81.01586217390575,86.72779637957446,87.36965532241696,84.28597479066963
27,64.59385703787365,76.18980162766016,83.33481485542586,86.42754246391597,84.23256361432537,65.69610120771821,74.0713740922376,80.5277532380974,80.04515107748004,76.17139270859208,70.59830419737519,81.0903983393445,86.76137894672331,87.46115962425743,84.43449222552023
28,64.28065554825403,75.8910923348602,83.18961057170667,86.46744954776916,84.4269443415519,65.90805201996045,74.22925985942553,80.66021925074278,80.24631873476666,76.4692745248607,70.69434501761108,81.16493450478326,86.79496151387217,87.5526639260979,84.58300966037085
29,63.953325302487315,75.56203574589867,83.01557603213337,86.49329926560739,84.64490328241295,66.09148571942809,74.35487241938772,80.7518079227394,80.41907311947087,76.76721150623139,70.75653555770268,81.19206275498757,86.77681219528452,87.60197990486347,84.71603543655215
30,63.625995056720605,75.23297915693715,82.84154149256008,86.51914898344562,84.86286222327399,66.27491941889575,74.48048497934991,80.84339659473602,80.59182750417507,77.06514848760207,70.81872609779425,81.2191910051919,86.75866287669687,87.65129588362903,84.84906121273346
31,63.298664810953895,74.90392256797561,82.66750695298678,86.54499870128384,85.08082116413505,66.45835311836339,74.6060975393121,80.93498526673264,80.76458188887928,77.36308546897277,70.88091663788585,81.24631925539622,86.74051355810923,87.7006118623946,84.98208698891476
32,62.971334565187185,74.57486597901409,82.4934724134135,86.57084841912207,85.2987801049961,66.64178681783103,74.7317100992743,81.02657393872924,80.93733627358347,77.66102245034347,70.94310717797744,81.27344750560053,86.72236423952158,87.74992784116016,85.11511276509606
33,62.65623636955746,74.247308582827,82.31597382992955,86.59568569508664,85.53700573086324,66.81456391757727,74.8482025698586,81.10451573797057,81.10120907685116,77.96795134335484,70.99325550078336,81.28323444371252,86.6869352639557,87.78649256882788,85.25289247507513
34,62.34113817392773,73.91975118663993,82.1384752464456,86.62052297105122,85.7752313567304,66.98734101732352,74.96469504044289,81.18245753721189,81.26508188011886,78.27488023636623,71.04340382358929,81.2930213818245,86.65150628838983,87.82305729649562,85.3906721850542
